|set_ru_names|ru_names_town_list
293|Жуков|['Жуков']
294|Возрождение|['Возрождение']
295|Ло Сланц. Загорье Санкт-Петербург |['Загорье', 'Санкт-Петербург']
296|Пгт Селятино|['Лелятино']
297|Баку Москва|['Баку', 'Москва']
298| . |[]
299|Сочи|['Сочи']
300|Мытищи Моск.|['Мытищи', 'Лоск']
301|Рубцовск |['Рубцовск']
302|Отделение Банка Расположено В Люберцах|['Отделение 5', 'Дюанка']
303|Москва-Мытищи|[]
304|Москва Краснодар|['Москва', 'Краснодар']
305|Оренбург|['Оренбург']
306|Сан-Франциско|['Сан-Франциско']
307|Раменское Московская.|['Раменское', 'Московская']
308|Санкт - Петербург|['Санкт-Петербург']
309|Владимир |['Владимир']
310|Гатчина|['Гатчина']
311|Красноярск Красноярск |['Красноярск']
312|Южно-Сухокумск|['Южно-Сухокумск']
313|Верховажье|['Верховажье']
314|Междуреченский|['Междуреченский']
315|Козловка|['Козловка']
316|Каменск-Уральский Свердловская.|['Каменск-Уральский', 'Свердловская']
317|Апшеронск |['Апшеронск']
318|Москва Барнаул|['Москва', 'Барнаул']
319|Пак Львовский|['Пак', 'Львовский']
320|Москва Ульяновск |['Москва', 'Ульяновск']
321|Спб Маскат|['Каскат']
322|Енисейск |['Енисейск']
323|Мо Пок Новый|['Новый']
324| По Октябрьский|['По', 'Октябрьский']
325|Новокузнецк Москва |['Новокузнецк', 'Москва']
326| Вольск|['Вольск']
327|По Володарского|['По', 'Володарского']
328| Сакмара|['Сакмара']
329|На Неве|[]
330|Дзержинский Москва|['Дзержинский', 'Москва']
331|Котлас Другие |['Котлас']
332|Пушкино |['Пушкино']
333|Бокситогорск|['Бокситогорск']
334|Кирово-Чепецк|['Кирово-Чепецк']
335|Кубинка|['Кубинка']
336|Красноярск |['Красноярск']
337|Игации Тарко-Сале|['Тарко-Сале']
338|Самара Г|['Самара']
339|Спб Москва |['Москва']
340|Павлово|['Павлово']
341|Новоалтайск |['Новоалтайск']
342| Г. Железногорск|[' Железногорск']
343|Камчатка|['Камчатка']
344|Павловский Посад Орехово-Зуево|['Павловский Посад', 'Орехово-Зуево']
345|Бород|['Миргород']
346|Бавлы|['Бавлы']
347|Москва Ногинск Москва|['Москва', 'Ногинск', 'Москва']
348|Мончегорск|['Мончегорск']
349|Татарстан|"['""Татарстан""']"
350| Пгт Новокручининский|['Новокручининский']
351|Москва До Жулебинский |['Москва', 'Убинский']
352|Мелеуз|['Мелеуз']
353|Горноправдинск|['Горноправдинск']
354|Ноябрьск|['Ноябрьск']
355|Вишневогорск|['Вишневогорск']
356|Лузино|['Лузино']
357|Шимановск|['Шимановск']
358| Уфа|['Уфа']
359|Дерехам Москва|['Варехам', 'Москва']
360|Кугеси|['Кугеси']
361|Аксай Краснодар |['Аксай', 'Краснодар']
362| Богучаны|['Богучаны']
363|С.Вольно -Надеждинское |['Вольно-Надеждинское']
364|Москва Китай-Город|['Москва']
365| Курчатов|['Курчатов']
366|Сергиев-Посад Москва|['Сергиев Посад', 'Москва']
367|П.Усть-Нера|['Усть-Нера']
368|П.Горшково Москва|['Горшково', 'Москва']
369|Асино|['Асино']
370|Белгород Белгород |['Белгород']
371|Планета Земля|['Кемля']
372|Станица Северская|['Старая Станица', 'Северская']
373|Иркутск Воронеж|['Иркутск', 'Воронеж']
374|Самара Спб|['Самара']
375|Балахта |['Балахта']
376|Ивдель|['Ивдель']
377|Колыма|[]
378|Курильск|['Курильск']
379|По Ватутинки|['По', 'Ватутинки']
380| Видное|['Видное']
381|Михайловск|['Михайловск']
382|Давыдово|['Давыдово']
383|Железногорск-Илимский|['Железногорск-Илимский']
384|Тбилисская|['Тбилисская']
385|П. Рахья|['Рахья']
386|Ванино|['Ванино']
387|Хабаровск-Ростов-На-Дону|['Хабаровск']
388|Рел|[]
389|Воркута |['Воркута']
390|Орехово-Зуево.Электросталь|['Орехово-Зуево', 'Электросталь']
391|Житомир|['Житомир']
392|Северодвинск|['Северодвинск']
393|3-Щелково|['Смелково']
394|Где Взять Кредит Одинцово|['Кирзять', 'Одинцово']
395|Амурск Другие |['Амурск']
396|Бийск Барнаул|['Бийск', 'Барнаул']
397|Тальменка|['Тальменка']
398|Или|['Или']
399|Москва Хабаровск|['Москва', 'Хабаровск']
400|Павлово |['Павлово']
401| Кинель-Черкассы Самарской Самара |['Кинель-Черкассы', 'Гарской', 'Самара']
402|Петушки Балашиха|['Петушки', 'Балашиха']
403|Благодатное|['Благодатное']
404|Белгород-|['Белгород']
405| Белая Глина|['Белая Глина']
406|Каменск-Шахтинский Мелиховской|['Каменск-Шахтинский']
407|Выборг Казань|['Выборг', 'Казань']
408|Люберцы Мо|['Люберцы']
409|Тарногский Городок|['Тарногский Городок']
410|Березово|['Березово']
411|Станица Ессентукская|['Старая Станица', 'Ессентукская']
412|Ейск|['Ейск']
413|Карелия П.Пяозерский|['Пяозерский']
414|Лыткарино Краснодар|['Лыткарино', 'Краснодар']
415|Рсо Алания С.Октябрьское|['Октябрьское']
416|Родники|['Родники']
417|Чернигов Москва |['Чернигов', 'Москва']
418|По Горный Забайкальского Края|['По', 'Горный', 'Забайкальское', 'Бурая']
419|Щёкино |['Уткино']
420| П. Ухолово|['Ухолово']
421|Буйнакск|['Буйнакск']
422|Те|[]
423|Благовещенск |['Благовещенск']
424|Центральный Офис На . Стр.2|['Центральный']
425|Часцы-1|[]
426|Новый Уренгой|['Новый Уренгой']
427|Россия Санкт Петербург Россия|['Санкт-Петербург']
428| Наро- Пгт.Калининец|['Калининец']
429|Ногинск Москва|['Ногинск', 'Москва']
430|Пущино Мо|['Пущино']
431|Тула-Москва|['Москва']
432|Тайга|['Тайга']
433|Рузаевка|['Рузаевка']
434|Тольятти Тольятти|['Тольятти']
435|Нерезиновск|[]
436|По Ильинский|['По', 'Ильинский']
437|Красная Поляна Сочи|['Красная Поляна', 'Сочи']
438|Екатеринбург Серов|['Екатеринбург', 'Серов']
439| Псынабо|['Псынабо']
440|Омск|['Омск']
441|Кжфвдлоажфы|[]
442|Алексеевка |['Алексеевка']
443|Самара Самара|['Самара']
444|Таганрог |['Таганрог']
445|Волгоград Волжский|['Волгоград', 'Волжский']
446|Москва Липецк|['Москва', 'Липецк']
447|Миасс |['Миасс']
448|Спб Крестьянский Пер.|['Крестьянский', 'Шин Мер']
449|Поспелиха|['Поспелиха']
450|Москва - Ростов-На-Дону|[]
451|Костерево|['Костерево']
452|Бургас Москва|['Бургас', 'Москва']
453|Сингапур|['Сингапур']
454|Алексеевское|['Алексеевское']
455|Спасск-Дальний|['Спасск-Дальний']
456|Череповец Вологда |['Череповец', 'Вологда']
457|Козьмодемьянск|['Козьмодемьянск']
458|Оренбург Подольск|['Оренбург', 'Подольск']
459|Котлас Санкт-Петербург|['Котлас', 'Санкт-Петербург']
460| Г Бердск|['Бердск']
461|Стрижи|['Стрижи']
462|Красноусольский|['Красноусольский']
463|Банковских|['Жданковский']
464| Куровское|['Куровское']
465|С.Перхушково|['Перхушково']
466|Крымск-Новороссийск|['Новороссийск']
467|Ковдор|['Ковдор']
468|Верхние Киги |['Верхние Киги']
469|Тверь Москва|['Тверь', 'Москва']
470|Тобольск|['Тобольск']
471|Теньгушево|['Теньгушево']
472|Челябинск|['Челябинск']
473|Сочи |['Сочи']
474|Кирово_Чепецк|['Кирово-Чепецк']
475|Рай Ханты-Мансийский Автономный Округ|['Рай']
476|Лесное|['Лесное']
477|Шугозеро Санкт-Петербург|['Шугозеро', 'Санкт-Петербург']
478| Деревеньки|['Деревеньки']
479|Фряново|['Фряново']
480|Контактный Центр|[]
481|Ивантеевка Моск. ивская.|['Ивантеевка', 'Лоск', 'Нивская']
482|Богородицк Ась|['Богородицкое', 'Тюсь']
483|П. Салым|['Салым']
